group,year,total,level,attainment,count
"55 Years and Over, Male",1959,14304,Elementary: 0 to 4 years,Less than High School,2491
"55 Years and Over, Male",1959,14304,Elementary: 5 to 8 years,Less than High School,6436
"55 Years and Over, Male",1959,14304,High School: 1 to 3 years,Less than High School,1759
"55 Years and Over, Male",1959,14304,High School: 4 years,High School,1584
"55 Years and Over, Male",1959,14304,College: 1 to 3 years,Some College,718
"55 Years and Over, Male",1959,14304,College: 4 years or more,College Degree,857
"55 Years and Over, Male",1957,13967,Elementary: 0 to 4 years,Less than High School,2696
"55 Years and Over, Male",1957,13967,Elementary: 5 to 8 years,Less than High School,6244
"55 Years and Over, Male",1957,13967,High School: 1 to 3 years,Less than High School,1570
"55 Years and Over, Male",1957,13967,High School: 4 years,High School,1493
"55 Years and Over, Male",1957,13967,College: 1 to 3 years,Some College,608
"55 Years and Over, Male",1957,13967,College: 4 years or more,College Degree,831
"55 Years and Over, Male",1952,12544,Elementary: 0 to 4 years,Less than High School,2428
"55 Years and Over, Male",1952,12544,Elementary: 5 to 8 years,Less than High School,6162
"55 Years and Over, Male",1952,12544,High School: 1 to 3 years,Less than High School,1318
"55 Years and Over, Male",1952,12544,High School: 4 years,High School,1262
"55 Years and Over, Male",1952,12544,College: 1 to 3 years,Some College,528
"55 Years and Over, Male",1952,12544,College: 4 years or more,College Degree,636
"55 Years and Over, Male",1950,12277,Elementary: 0 to 4 years,Less than High School,2609
"55 Years and Over, Male",1950,12277,Elementary: 5 to 8 years,Less than High School,5808
"55 Years and Over, Male",1950,12277,High School: 1 to 3 years,Less than High School,1209
"55 Years and Over, Male",1950,12277,High School: 4 years,High School,1111
"55 Years and Over, Male",1950,12277,College: 1 to 3 years,Some College,500
"55 Years and Over, Male",1950,12277,College: 4 years or more,College Degree,569
"55 Years and Over, Male",1947,11424,Elementary: 0 to 4 years,Less than High School,2393
"55 Years and Over, Male",1947,11424,Elementary: 5 to 8 years,Less than High School,5656
"55 Years and Over, Male",1947,11424,High School: 1 to 3 years,Less than High School,939
"55 Years and Over, Male",1947,11424,High School: 4 years,High School,1109
"55 Years and Over, Male",1947,11424,College: 1 to 3 years,Some College,464
"55 Years and Over, Male",1947,11424,College: 4 years or more,College Degree,482
"55 Years and Over, Male",1940,9815,Elementary: 0 to 4 years,Less than High School,2293
"55 Years and Over, Male",1940,9815,Elementary: 5 to 8 years,Less than High School,5249
"55 Years and Over, Male",1940,9815,High School: 1 to 3 years,Less than High School,724
"55 Years and Over, Male",1940,9815,High School: 4 years,High School,660
"55 Years and Over, Male",1940,9815,College: 1 to 3 years,Some College,313
"55 Years and Over, Male",1940,9815,College: 4 years or more,College Degree,361
"55 Years and Over, Female",2022,52182,Elementary: 0 to 4 years,Less than High School,711
"55 Years and Over, Female",2022,52182,Elementary: 5 to 8 years,Less than High School,1552
"55 Years and Over, Female",2022,52182,High School: 1 to 3 years,Less than High School,2812
"55 Years and Over, Female",2022,52182,High School: 4 years,High School,16776
"55 Years and Over, Female",2022,52182,College: 1 to 3 years,Some College,13995
"55 Years and Over, Female",2022,52182,College: 4 years or more,College Degree,16336
"55 Years and Over, Female",2021,52361,Elementary: 0 to 4 years,Less than High School,661
"55 Years and Over, Female",2021,52361,Elementary: 5 to 8 years,Less than High School,1646
"55 Years and Over, Female",2021,52361,High School: 1 to 3 years,Less than High School,2967
"55 Years and Over, Female",2021,52361,High School: 4 years,High School,16682
"55 Years and Over, Female",2021,52361,College: 1 to 3 years,Some College,13816
"55 Years and Over, Female",2021,52361,College: 4 years or more,College Degree,16588
"55 Years and Over, Female",2020,51656,Elementary: 0 to 4 years,Less than High School,687
"55 Years and Over, Female",2020,51656,Elementary: 5 to 8 years,Less than High School,1640
"55 Years and Over, Female",2020,51656,High School: 1 to 3 years,Less than High School,3179
"55 Years and Over, Female",2020,51656,High School: 4 years,High School,16129
"55 Years and Over, Female",2020,51656,College: 1 to 3 years,Some College,14062
"55 Years and Over, Female",2020,51656,College: 4 years or more,College Degree,15958
"55 Years and Over, Female",2019,50755,Elementary: 0 to 4 years,Less than High School,687
"55 Years and Over, Female",2019,50755,Elementary: 5 to 8 years,Less than High School,1786
"55 Years and Over, Female",2019,50755,High School: 1 to 3 years,Less than High School,3262
"55 Years and Over, Female",2019,50755,High School: 4 years,High School,16341
"55 Years and Over, Female",2019,50755,College: 1 to 3 years,Some College,13862
"55 Years and Over, Female",2019,50755,College: 4 years or more,College Degree,14817
"55 Years and Over, Female",2018,49819,Elementary: 0 to 4 years,Less than High School,736
"55 Years and Over, Female",2018,49819,Elementary: 5 to 8 years,Less than High School,1865
"55 Years and Over, Female",2018,49819,High School: 1 to 3 years,Less than High School,3422
"55 Years and Over, Female",2018,49819,High School: 4 years,High School,16504
"55 Years and Over, Female",2018,49819,College: 1 to 3 years,Some College,13340
"55 Years and Over, Female",2018,49819,College: 4 years or more,College Degree,13953
"55 Years and Over, Female",2017,48698,Elementary: 0 to 4 years,Less than High School,719
"55 Years and Over, Female",2017,48698,Elementary: 5 to 8 years,Less than High School,1849
"55 Years and Over, Female",2017,48698,High School: 1 to 3 years,Less than High School,3329
"55 Years and Over, Female",2017,48698,High School: 4 years,High School,16107
"55 Years and Over, Female",2017,48698,College: 1 to 3 years,Some College,13063
"55 Years and Over, Female",2017,48698,College: 4 years or more,College Degree,13630
"55 Years and Over, Female",2016,47694,Elementary: 0 to 4 years,Less than High School,782
"55 Years and Over, Female",2016,47694,Elementary: 5 to 8 years,Less than High School,1875
"55 Years and Over, Female",2016,47694,High School: 1 to 3 years,Less than High School,3195
"55 Years and Over, Female",2016,47694,High School: 4 years,High School,16107
"55 Years and Over, Female",2016,47694,College: 1 to 3 years,Some College,12745
"55 Years and Over, Female",2016,47694,College: 4 years or more,College Degree,12990
"55 Years and Over, Female",2015,46516,Elementary: 0 to 4 years,Less than High School,839
"55 Years and Over, Female",2015,46516,Elementary: 5 to 8 years,Less than High School,1925
"55 Years and Over, Female",2015,46516,High School: 1 to 3 years,Less than High School,3570
"55 Years and Over, Female",2015,46516,High School: 4 years,High School,16059
"55 Years and Over, Female",2015,46516,College: 1 to 3 years,Some College,11922
"55 Years and Over, Female",2015,46516,College: 4 years or more,College Degree,12201
"55 Years and Over, Female",2014,45284,Elementary: 0 to 4 years,Less than High School,821
"55 Years and Over, Female",2014,45284,Elementary: 5 to 8 years,Less than High School,2039
"55 Years and Over, Female",2014,45284,High School: 1 to 3 years,Less than High School,3295
"55 Years and Over, Female",2014,45284,High School: 4 years,High School,15812
"55 Years and Over, Female",2014,45284,College: 1 to 3 years,Some College,11739
"55 Years and Over, Female",2014,45284,College: 4 years or more,College Degree,11578
"55 Years and Over, Female",2013,44158,Elementary: 0 to 4 years,Less than High School,749
"55 Years and Over, Female",2013,44158,Elementary: 5 to 8 years,Less than High School,2141
"55 Years and Over, Female",2013,44158,High School: 1 to 3 years,Less than High School,3438
"55 Years and Over, Female",2013,44158,High School: 4 years,High School,15507
"55 Years and Over, Female",2013,44158,College: 1 to 3 years,Some College,11327
"55 Years and Over, Female",2013,44158,College: 4 years or more,College Degree,10996
"55 Years and Over, Female",2012,42989,Elementary: 0 to 4 years,Less than High School,734
"55 Years and Over, Female",2012,42989,Elementary: 5 to 8 years,Less than High School,2199
"55 Years and Over, Female",2012,42989,High School: 1 to 3 years,Less than High School,3590
"55 Years and Over, Female",2012,42989,High School: 4 years,High School,15311
"55 Years and Over, Female",2012,42989,College: 1 to 3 years,Some College,10769
"55 Years and Over, Female",2012,42989,College: 4 years or more,College Degree,10384
"55 Years and Over, Female",2011,41136,Elementary: 0 to 4 years,Less than High School,775
"55 Years and Over, Female",2011,41136,Elementary: 5 to 8 years,Less than High School,2140
"55 Years and Over, Female",2011,41136,High School: 1 to 3 years,Less than High School,3358
"55 Years and Over, Female",2011,41136,High School: 4 years,High School,14946
"55 Years and Over, Female",2011,41136,College: 1 to 3 years,Some College,10178
"55 Years and Over, Female",2011,41136,College: 4 years or more,College Degree,9739
"55 Years and Over, Female",2010,40230,Elementary: 0 to 4 years,Less than High School,793
"55 Years and Over, Female",2010,40230,Elementary: 5 to 8 years,Less than High School,2195
"55 Years and Over, Female",2010,40230,High School: 1 to 3 years,Less than High School,3440
"55 Years and Over, Female",2010,40230,High School: 4 years,High School,14725
"55 Years and Over, Female",2010,40230,College: 1 to 3 years,Some College,9682
"55 Years and Over, Female",2010,40230,College: 4 years or more,College Degree,9395
"55 Years and Over, Female",2009,39263,Elementary: 0 to 4 years,Less than High School,867
"55 Years and Over, Female",2009,39263,Elementary: 5 to 8 years,Less than High School,2228
"55 Years and Over, Female",2009,39263,High School: 1 to 3 years,Less than High School,3669
"55 Years and Over, Female",2009,39263,High School: 4 years,High School,14268
"55 Years and Over, Female",2009,39263,College: 1 to 3 years,Some College,9421
"55 Years and Over, Female",2009,39263,College: 4 years or more,College Degree,8810
"55 Years and Over, Female",2008,38251,Elementary: 0 to 4 years,Less than High School,780
"55 Years and Over, Female",2008,38251,Elementary: 5 to 8 years,Less than High School,2362
"55 Years and Over, Female",2008,38251,High School: 1 to 3 years,Less than High School,3588
"55 Years and Over, Female",2008,38251,High School: 4 years,High School,14269
"55 Years and Over, Female",2008,38251,College: 1 to 3 years,Some College,9119
"55 Years and Over, Female",2008,38251,College: 4 years or more,College Degree,8133
"55 Years and Over, Female",2007,37306,Elementary: 0 to 4 years,Less than High School,855
"55 Years and Over, Female",2007,37306,Elementary: 5 to 8 years,Less than High School,2398
"55 Years and Over, Female",2007,37306,High School: 1 to 3 years,Less than High School,3796
"55 Years and Over, Female",2007,37306,High School: 4 years,High School,13902
"55 Years and Over, Female",2007,37306,College: 1 to 3 years,Some College,8781
"55 Years and Over, Female",2007,37306,College: 4 years or more,College Degree,7573
"55 Years and Over, Female",2006,36425,Elementary: 0 to 4 years,Less than High School,922
"55 Years and Over, Female",2006,36425,Elementary: 5 to 8 years,Less than High School,2521
"55 Years and Over, Female",2006,36425,High School: 1 to 3 years,Less than High School,3761
"55 Years and Over, Female",2006,36425,High School: 4 years,High School,13472
"55 Years and Over, Female",2006,36425,College: 1 to 3 years,Some College,8630
"55 Years and Over, Female",2006,36425,College: 4 years or more,College Degree,7119
"55 Years and Over, Female",2005,35547,Elementary: 0 to 4 years,Less than High School,897
"55 Years and Over, Female",2005,35547,Elementary: 5 to 8 years,Less than High School,2645
"55 Years and Over, Female",2005,35547,High School: 1 to 3 years,Less than High School,3887
"55 Years and Over, Female",2005,35547,High School: 4 years,High School,13474
"55 Years and Over, Female",2005,35547,College: 1 to 3 years,Some College,7916
"55 Years and Over, Female",2005,35547,College: 4 years or more,College Degree,6728
"55 Years and Over, Female",2004,34687,Elementary: 0 to 4 years,Less than High School,826
"55 Years and Over, Female",2004,34687,Elementary: 5 to 8 years,Less than High School,2715
"55 Years and Over, Female",2004,34687,High School: 1 to 3 years,Less than High School,3936
"55 Years and Over, Female",2004,34687,High School: 4 years,High School,13287
"55 Years and Over, Female",2004,34687,College: 1 to 3 years,Some College,7593
"55 Years and Over, Female",2004,34687,College: 4 years or more,College Degree,6329
"55 Years and Over, Female",2003,33939,Elementary: 0 to 4 years,Less than High School,860
"55 Years and Over, Female",2003,33939,Elementary: 5 to 8 years,Less than High School,2949
"55 Years and Over, Female",2003,33939,High School: 1 to 3 years,Less than High School,3964
"55 Years and Over, Female",2003,33939,High School: 4 years,High School,13129
"55 Years and Over, Female",2003,33939,College: 1 to 3 years,Some College,7190
"55 Years and Over, Female",2003,33939,College: 4 years or more,College Degree,5848
"55 Years and Over, Female",2002,33035,Elementary: 0 to 4 years,Less than High School,864
"55 Years and Over, Female",2002,33035,Elementary: 5 to 8 years,Less than High School,3038
"55 Years and Over, Female",2002,33035,High School: 1 to 3 years,Less than High School,4210
"55 Years and Over, Female",2002,33035,High School: 4 years,High School,12664
"55 Years and Over, Female",2002,33035,College: 1 to 3 years,Some College,6860
